"ID";"RegioS";"Naam_2";"SorteringNaam_3";"Naam_29"
"22";"GM0489    ";"Barendrecht                                       ";"Barendrecht                                       ";"Zuid-Holland                                      "
"23";"GM0203    ";"Barneveld                                         ";"Barneveld                                         ";"Gelderland                                        "
"24";"GM0888    ";"Beek (L.)                                         ";"Beek (L.)                                         ";"Limburg                                           "
"25";"GM1954    ";"Beekdaelen                                        ";"Beekdaelen                                        ";"Limburg                                           "
"26";"GM0889    ";"Beesel                                            ";"Beesel                                            ";"Limburg                                           "
"27";"GM1945    ";"Berg en Dal                                       ";"Berg en Dal                                       ";"Gelderland                                        "
"28";"GM1724    ";"Bergeijk                                          ";"Bergeijk                                          ";"Noord-Brabant                                     "
"29";"GM0893    ";"Bergen (L.)                                       ";"Bergen (L.)                                       ";"Limburg                                           "
"30";"GM0373    ";"Bergen (NH.)                                      ";"Bergen (NH.)                                      ";"Noord-Holland                                     "
"31";"GM0748    ";"Bergen op Zoom                                    ";"Bergen op Zoom                                    ";"Noord-Brabant                                     "
"32";"GM1859    ";"Berkelland                                        ";"Berkelland                                        ";"Gelderland                                        "
"33";"GM1721    ";"Bernheze                                          ";"Bernheze                                          ";"Noord-Brabant                                     "
"34";"GM0753    ";"Best                                              ";"Best                                              ";"Noord-Brabant                                     "
"35";"GM0209    ";"Beuningen                                         ";"Beuningen                                         ";"Gelderland                                        "
"36";"GM0375    ";"Beverwijk                                         ";"Beverwijk                                         ";"Noord-Holland                                     "
"37";"GM0310    ";"De Bilt                                           ";"Bilt De                                           ";"Utrecht                                           "
"38";"GM1728    ";"Bladel                                            ";"Bladel                                            ";"Noord-Brabant                                     "
"39";"GM0376    ";"Blaricum                                          ";"Blaricum                                          ";"Noord-Holland                                     "
"40";"GM0377    ";"Bloemendaal                                       ";"Bloemendaal                                       ";"Noord-Holland                                     "
"41";"GM1901    ";"Bodegraven-Reeuwijk                               ";"Bodegraven+Reeuwijk                               ";"Zuid-Holland                                      "
"42";"GM0755    ";"Boekel                                            ";"Boekel                                            ";"Noord-Brabant                                     "
"43";"GM1681    ";"Borger-Odoorn                                     ";"Borger+Odoorn                                     ";"Drenthe                                           "
"44";"GM0147    ";"Borne                                             ";"Borne                                             ";"Overijssel                                        "
"45";"GM0654    ";"Borsele                                           ";"Borsele                                           ";"Zeeland                                           "
"46";"GM0757    ";"Boxtel                                            ";"Boxtel                                            ";"Noord-Brabant                                     "
"47";"GM0758    ";"Breda                                             ";"Breda                                             ";"Noord-Brabant                                     "
"48";"GM1876    ";"Bronckhorst                                       ";"Bronckhorst                                       ";"Gelderland                                        "
"49";"GM0213    ";"Brummen                                           ";"Brummen                                           ";"Gelderland                                        "
"50";"GM0899    ";"Brunssum                                          ";"Brunssum                                          ";"Limburg                                           "
"51";"GM0312    ";"Bunnik                                            ";"Bunnik                                            ";"Utrecht                                           "
"52";"GM0313    ";"Bunschoten                                        ";"Bunschoten                                        ";"Utrecht                                           "
"53";"GM0214    ";"Buren                                             ";"Buren                                             ";"Gelderland                                        "
"54";"GM0502    ";"Capelle aan den IJssel                            ";"Capelle aan den IJssel                            ";"Zuid-Holland                                      "
"55";"GM0383    ";"Castricum                                         ";"Castricum                                         ";"Noord-Holland                                     "
"56";"GM0109    ";"Coevorden                                         ";"Coevorden                                         ";"Drenthe                                           "
"57";"GM1706    ";"Cranendonck                                       ";"Cranendonck                                       ";"Noord-Brabant                                     "
"58";"GM0216    ";"Culemborg                                         ";"Culemborg                                         ";"Gelderland                                        "
"59";"GM0148    ";"Dalfsen                                           ";"Dalfsen                                           ";"Overijssel                                        "
"60";"GM1891    ";"Dantumadiel                                       ";"Dantumadiel                                       ";"Fryslân                                           "
"61";"GM0503    ";"Delft                                             ";"Delft                                             ";"Zuid-Holland                                      "
"62";"GM0762    ";"Deurne                                            ";"Deurne                                            ";"Noord-Brabant                                     "
"63";"GM0150    ";"Deventer                                          ";"Deventer                                          ";"Overijssel                                        "
"64";"GM0384    ";"Diemen                                            ";"Diemen                                            ";"Noord-Holland                                     "
"65";"GM1980    ";"Dijk en Waard                                     ";"Dijk+en+Waard                                     ";"Noord-Holland                                     "
"66";"GM1774    ";"Dinkelland                                        ";"Dinkelland                                        ";"Overijssel                                        "
"67";"GM0221    ";"Doesburg                                          ";"Doesburg                                          ";"Gelderland                                        "
"68";"GM0222    ";"Doetinchem                                        ";"Doetinchem                                        ";"Gelderland                                        "
"69";"GM0766    ";"Dongen                                            ";"Dongen                                            ";"Noord-Brabant                                     "
"70";"GM0505    ";"Dordrecht                                         ";"Dordrecht                                         ";"Zuid-Holland                                      "
